Bhojpuri Morisien,Kreol Morisien,English
kamra mein ek bed aur ek kursi ba,dan lasam ena enn lili ek enn sez,there is a bed and a chair in the room
kanwaari,laport,door
kanwaari band kar da,ferm laport la,close the door
kanwaari ke paas ek sundar pardaa ba,ena enn zoli rido pres ar laport la,there is a beautiful curtain near the door
kanwaari khulal ba,laport la ouver,the door has been left open
khirki,lafinet,window
khirki se hawa andar aawat ba,divan pe rantre par lafinet,air is coming in through the window
khirki ke paas ek pot ke plant ba,ena enn plant enn po pres ar lafinet la,theres a potted plant near the window
khirki khula rakha jaa taaki roshni aawe,les lafinet ouver pou ki limier rantre,keep the window open so the light can come in
snanalay,lasam deben,bathroom
snanalay saaf sutra rakha jaa,gard lasam deben prop,keep the bathroom clean
snanalay mein naya shower lagal ba,nouvo douch finn mete dan lasam deben,a new shower has been installed in the bathroom
bhojanalay,lasal manze,dining room
bhojanalay mein sab log saath khana khat ba,dan lasal manze tou dimoun pe manze ansam,everyone is eating together in the dining room
bhojanalay ke table par phal rakhal ba,ena fri lor latab dan lasal manze,fruits are placed on the dining room table
bhojanalay bahut saaf ba,lasal manze la buku prop,the dining room is very clean
rasoi ghar,lakwizinn,kitchen
rasoi ghar se khusbu aawat ba,ena enn bon parfin pe sorti depi lakwizinn,a nice aroma is coming from the kitchen
rasoi ghar mein sabji banat ba,dan lakwizinn pe kwit legim,vegetables are being cooked in the kitchen
rasoi ghar mein sab saman theek se rakha jaa,gard tou kitsoz bien organize dan lakwizinn,keep all items properly arranged in the kitchen
chulha,four,fire stove
chulha par roti sekat ba,dipin pe fri lor four,bread is baking on the stove
chulha mein aag jala de,alim dife dan four,light the fire in the stove
chulha purana ba par abhi tak chalela,four la vie me ankor pe marse,the stove is old but still works
latabwa,latab,table
latab,latab,table
latabwa par kitab rakhal ba,ena liv lor latab,there are books on the table
latabwa kaam kare ke lie achha ba,latab la bon pou travay lor li,the table is good for working
latab ke kapra saaf karda,netway nap lor latab,clean the tablecloth on the table
kursi,sez,chair
kursi par baith jaa,asiz lor sez,sit on the chair
kursi ke pair thoda hil gail ba,lapat sez la in bouze tigit,the chairs leg is a bit loose
kursi lakdi ke banal ba,sez la fer ar dibwa,the chair is made of wood
lamwar,lamwar,wardrobe
almari,lamwar,wardrobe
lamwar mein kapra rakhal ba,ena linz dan lamwar,clothes are kept in the wardrobe
lamwar ke andar ek aaina lagal ba,ena enn mirwar endan dan lamwar,there is a mirror inside the wardrobe
lamwar purana ba par mazboot ba,lamwar la vie me solid,the wardrobe is old but strong
sejiya,lili,bed
lili,lili,bed
sejiya par chaddar bichha da,etann draap lor lili,spread the bedsheet on the bed
lili wa bahut aaramdayak ba,lili la bien konfortab,the bed is very comfortable
sejiya ke paas ek takiya ba,ena enn takiya pres ar lili la,theres a pillow next to the bed
matela,matela,mattress
matela naya le aaili bazar se,mo in amen en nouvo matela depi bazar,i bought a new mattress from the market
matela par sone se aaram milela,dormi lor matela fer repoze,sleeping on a mattress gives comfort
matela ke cover saaf kar da,netway kouvert matela la,clean the mattress cover
palna,berseo,cradle
palna mein bachwa sotal ba,enn zenfan pe dormi dan berseo,the baby is sleeping in the cradle
palna dheere dheere hilat ba,berseo pe bouger dousman,the cradle is gently swinging
palna naya kharid ke la aaili,mon aste enn nouvo berseo mon amene,i bought a new cradle
chowkhat,bor lakaz,threshold
upar,lao,up
chowkhat ke upar sundar design ba,ena zoli desen lao bor lakaz,there is a beautiful design on the doorway
chowkhat purani ba par abhi mazboot ba,bor lakaz la vie me ankor solid,the threshold is old but still strong
agarbati,sandal,incense stick
agarbati,agarbati,incense stick
agarbati jalawat hai mandir mein,mo pe alime agarbati dan legliz,i am lighting incense sticks in the temple
agarbati ke khusbu ghar bhar gail,parfin sandal la finn ranpli lakaz,the scent of the incense filled the house
agarbati hum roj subah jalai la,mo alime agarbati sak gramatin,i light incense every morning
lobaan,loban,incense
lobaan mandir mein jale la,loban alime dan legliz,incense was being burned in the temple
lobaan ke dhuan bahut achha lagela,lafime loban fer gagn bon,the smoke from the incense smells nice
aina,mirwar,mirror
aina mein apna chehra dekhni,mon get mo figir dan mirwar,i looked at my face in the mirror
aina saaf kar da subah ke time,netway mirwar ler gramatin,clean the mirror in the morning
aina diwar par lagal ba,mirwar apandan lor miray,the mirror is fixed on the wall
almari,armwar,wardrobe
almari mein kapra ba,ena linz dan armwar,clothes are kept in the wardrobe
almari ke tala band kar da,ferm kadna armwar la,lock the wardrobe
almari purani ba lekin mazboot ba,armwar vie me solid,the wardrobe is old but strong
caro,karo,iron
karo,karo,iron
caro se kapra press kar da,servi karo pou repas linz,iron the clothes
karo garam ho gail ba,karo finn chau,the iron has become hot
karo table par rakha jaa,gard karo lor latab,keep the iron on the table
kanghi,pein,comb
kanghi se baal bana le,servi pein pou peign seve,comb your hair
kanghi meja par rakhal ba,pein in garder lor latab,the comb is on the table
kanghi naya kharidke le aaili,mon aste enn nouvo pein mon amene,i bought a new comb
catora,bol,bowl cup
catora mein daal daal da,met dal dan bol,pour the lentils in the bowl
catora chhota ba lekin mazboot,boll a tipit me solid,the bowl is small but strong
catora mein pani bhar la,ranpli dilo dan bol,the bowl is filled with water
katori,ti bol,small bowl
katori mein chutney rakhal ba,ena satini dan ti bol,theres chutney in the small bowl
katori naya set ke saath aail ba,ti bol la vini avek nouvo set,the small bowl came with a new set
katori kaanch ke ba,ti bol la ar ver,the small bowl is made of glass
kagez,papie,paper
kagez par apna naam likh da,ekrir to nom lor papie,write your name on the paper
kagez hawa se udd gail,papie finn envole avek divan,the paper flew away in the wind
kagez saf sutra rakha jaa,gard papie prop,keep the paper clean
kitab,liv,book
kitab parha thai,mo pe lir liv,i am reading a book
kitab table par rakhal ba,ena liv lor latab,the book is on the table
naya kitab kharidli,mon aste enn nouvo liv,i bought a new book
kulhari,hache,axe
kulhari se lakdi kaate la,hache koupe dibwa,cutting wood with an axe
kulhari tez ba sambhal ke chalawa,hache la fite fer atansion kan servi li,the axe is sharp handle it carefully
kulhari purana ba par abhi chalela,hache la vie me ankor bon,the axe is old but still works
gilass,ver,glass
gilass mein pani ba,dan ver ena dilo,the glass is filled with water
gilass toot gail ba,ver la in kase,the glass broke
gilass saaf kar da khana ke baad,netway ver la apre manze,clean the glass after eating
ghara,brok,large jug
ghara mein pani bhar la,ranpli dilo dan brok,the large jug is filled with water
ghara mitti ke banal ba,brok la fer avek later,the jug is made of clay
ghara thanda pani rakhe ke lie upyog hola,brok la servi pou gard dilo fre,the jug is used to keep cool water
ghari,mont,watch clock
ghari deewar par lagal ba,mont la lor miray,the clock is hanging on the wall
ghari band hogal ba cell badal da,mont la in arete ranplas pil la,the watch stopped change the battery
ghari ke time sahi kar da,dres ler mont la,set the correct time on the clock
charkha,larou,spinning wheel
charkha dheere dheere ghumat ba,la roue la pe vire dousman dousman,the spinning wheel is turning slowly
chabi,lakle,key
chabhi,lakle,key
chabi darwaja ke band kare ke baad rakh da,gard lakle kan fini ferm laport,keep the key after locking the door
chabhi kho gal ba,lakle finn perdi,the key is lost
chabi almari ke andar ba,lakle dan armwar,the key is inside the wardrobe
chimta,pinz,tongs
chimta se roti uthai jaa,servi pinz pou leve dipin,use tongs to lift the bread
chimta garam ba haath mat laga,pinz la chau pa trap avek lamin,the tongs are hot dont touch them
chimta lohe ke banal ba,pinz la fer avek metal,the tongs are made of iron
chuddi,brasle,bangle
chuddi bahut sundar ba,brasle la bien zoli,the bangle is very beautiful
chuddi bazar se kharid ke la aaili,mon aste brasle depi bazar mon amene,i bought the bangle from the market
chuddi haath mein chamak rahal,brasle la pe briye dan lame,the bangle is shining on her hand
jharou,balye,broom
jharou se floor saaf kar da,servi balye pou netway sali,clean the floor with a broom
jharou naya kharid ke le aaili,mon aste enn nouvo balye mon amene,i bought a new broom
sali,sali,floor
jharou kona mein rakha jaa,gard balye dan kwen,keep the broom in the corner
diba,bwat,small box
diba mein tikia rakhal ba,in gard tik dan bwat,the small box contains pins
boite khol ke dekha konchi andhar ba,ouver bwat la gete ki ena andan,open the box and see whats inside
dibiya chhoti par upyogi ba,bwat la tipti me itil,the box is small but useful
dol,sewo,bucket
sewo,sewo,bucket
balti,balti,bucket
dol mein pani bharela,ranpli dilo dan balti,the bucket is full of water
sewo le jaa bathroom ke lie,amenn balti dan lasam de ben,take the bucket to the bathroom
balti ke lamans toot gail ba,lamans balti la finn kase,the bucket handle is broken
tarazou,balans,scale
tarazou se sabzi tola jaat ba,pe pez legim avek balans,vegetables are weighed with a scale
tarazou purana ba lekin abhi kaam karela,balans la vie me ankor marse,the scale is old but still works
tarazou ke dono palla barabar ba,tou de kote balans la egal,both sides of the scale are equal
talla,kadna,lock
talla band kar da raat mein,ferm kadna aswar,lock it at night
talla khul nahi rahal,kadna pa ti pe ouver,the lock isnt opening
naya talla kharid ke le aaili,mon aste enn nouvo kadna mon amene,i bought a new lock
thali,plato,platter
thali mein khana paros da,met manze lor plato,serve food on the platter
thali saaf kar da khana ke baad,netway plato la apre manze,clean the platter after eating
thali mein dal aur chawal ba,lor plato ena dal ek diri,there is lentils and rice on the plate
diya,la lamp,earthen lamp
diya jalawat rani puja ke time,mo ti pe alime la lamp letan lapriyer,i am lighting the lamp during prayer
diya ke roshni bahut komal ba,limier la lamp la dou ek zoli,the light of the lamp is soft and pretty
diya mitti ke banal ba,la lamp fer ar later,the lamp is made of clay
patial,pwalon,pan
pwalon,pwalon,pan
patial mein sabzi banawat ba,pe kwiy legim dan pwalon,vegetables are cooking in the pan
pwalon saaf kar da khana ke baad,netway pwalon apre manze,clean the pan after eating
pwalon lohe ke banal ba,pwalon fer ar metal,the pan is made of iron
patra,let,letter
patra likh ke dost ke bhej de,ekrir let ek avoy to kamarad,write and send a letter to your friend
patra purana zamana mein bahut upyog rahal,let ti bien itil dan lepok lontan,in the old days letters were used a lot
patra ke cover band kar da,ferm kouvert let la,seal the envelope of the letter
batwa,portmone,purse wallet
batwa mein paisa rakhal ba,in gard larzan dan portmone,money is kept in the wallet
batwa khogal ba bazar mein,portmone finn perdi dan bazar,the wallet was lost in the market
batwa chhoti par upyogi ba,portmone la tipti me itil,the wallet is small but useful
mombatti,labouzi,candle
la bouji,labouzi,candle
mombatti jalawat hai kaheki bijli chalgal,pe alime labouzi paski kouran fine ale,i am lighting a candle because the power is out
mombatti ke roshni kamra ke bharal,limier labouzi la finn ranpli lasam,the candles light filled the room
la bouji chhoti ba jaldi khatam ho jaayi,labouzi la tipti li pou fini vite,the candle is small it will finish soon
rassi,la corde,rope
rassi se bakri bandhal ba,kabri in atase avek la corde,the goat is tied with a rope
rassi majboot ba par purani,la corde solid me vie,the rope is strong but old
saboune,savon,soap
saboune se haath dho le,lave to lamin avek savon,wash your hands with soap
saboune table par rakhal ba,ena savon lor latab,the soap is on the table
saboune ke khusbu bahut accha ba,parfin savon la bien bon,the soap smells very nice
soui,zegui,needle
soui se kapra si le,coud linz avek zegui,stitch the cloth with a needle
soui chhoti ba sambhal ke rakha jaa,zegui la tipti gard li byen,the needle is small keep it safely
soui aur dhaga dono ek saath chale la,zegui ek difil tou le de mars ensam,the needle comes together with thread
pla,lasiet,plate
pla par roti rakhal ba,ena dipin lor lasiet,there is bread on the plate
pla saaf kar da khana ke baad,netway lasiet kan fini manze,clean the plate after eating
pla kanch ke bana ba,lasiet fer ar ver,the plate is made of glass
thali,plato,plate
thali mein khana paros da,servi manze lor plato,serve food on the plate
thali mein dal aur chawal ba,lor plato ena dal ek diri,there is rice and lentils on the plate
thali ke kinara toot gail ba,bord plato la finn kase,the edge of the plate is broken
gobley,goble,mug
gobley mein chai bhara,rampli dite dan goble,the mug is filled with tea
gobley table par rakhal ba,ena goble lor latab,the mug is on the table
gobley maila kar delak,lin fer goble la sal,i bought a new mug
bol,bol,bowl
bol mein phal rakhal ba,ena fri dan bol,fruits are kept in the bowl
bol steel ke banal ba,bol fer avek metal,the bowl is made of steel
bol saaf kar da khana ke baad,netway bol apre manze,wash the bowl after eating
cup,tas,cup
tasse,tas,cup
pyala,tas,cup
cup mein chai thanda ho gal ba,dite dan tas la finn fre,the tea in the cup has become cold
tasse table par rakhal ba,in gard tas lor latab,the cup is on the table
pyala toot gail ba kal,tas finn kase yer,the cup broke yesterday
karcha,kuyer,spoon
karcha se chawal paros da,servi kuyer pou partaz diri,serve rice with a spoon
karcha chandi ke banal ba,kuyer fer avek larzan,the spoon is made of silver
karcha kitchen mein rakhal ba,ena kuyer dan lakwizinn,the spoon is kept in the kitchen
kalchul,louch,ladle
kalchul se dal nikali jaa,servi louch pou tir dal,use the ladle to take out the lentils
kalchul bada aur gahra ba,louch la gran ek profon,the ladle is large and deep
kalchul lohe ke banal ba,louch la fer avek metal,the ladle is made of iron
jharna,louch,slotted spoon
jharna se pakora nikala jaa,servi louch pou tir gato frir,use a slotted spoon to remove the fritters
jharna steel ke bana ba,louch la fer avek steel,the slotted spoon is made of steel
bartan,bwat,kitchen vessels
bartan sab kitchen mein rakhal ba,tou bwat dan lakwizinn mem,all the vessels are kept in the kitchen
bartan dhok ke saaf kar da,lave bwat la fer prop,wash and clean the kitchen vessels
bartan lohe aur steel ke banal ba,bwat fer avek metal ek lasie,the kitchen vessels are made of iron and steel
aag,dife,fire
aag jalawat hai roti sekhe ke lie,mo pe alime dife pou frir dipin,i am lighting the fire to make bread
aag tez ho gal ba,dife la finn vinn for,the fire has become strong
aag ke paas mat jaa,pa al pre ar dife la,dont go near the fire
loonda,pinky,dishwashing sponge
loonda se bartan saaf kar da,servi pinky pou netway vessel,use the sponge to wash the dishes
loonda purana ho gal ba,loonda la in vin vie,the sponge has become old
loonda se plate chamak jaala,loonda fer lasiet briye,the sponge makes the plates shine
dekchi,marmit,cooking vessel
dekchi mein dal ubal rahal ba,dal pe bouyi dan marmit,the lentils are boiling in the pot
dekchi ke dhakkan band kar da,ferm kouver marmit la,close the lid of the pot
dekchi naya le aaili bazar se,mon aste enn nouvo marmit depi bazar,i bought a new cooking pot from the market
karaahi,karay,cauldron
karaahi mein sabzi talat ba,legim pe fri dan karay,vegetables are being fried in the cauldron
karaahi lohe ke banal ba,karay la fer avek metal,the cauldron is made of iron
karaahi saaf kar da khana ke baad,netway karay kan fini manze,clean the cauldron after cooking
poncha,sifon,kitchen towel
poncha se table saaf kar da,servi sifon pou netway latab,wipe the table with the kitchen towel
poncha sink ke paas rakhal ba,ena sifon pres ar levie,the towel is kept near the sink
poncha sukhaye ke lie bahar taang da,pand sifon la deor pou li sek,hang the towel outside to dry
mouswaar,mouswar,kerchief
mouswaar se haath ponch da,servi mouswar pou sui to lamin,wipe your hands with the kerchief
mouswaar jeb mein rakha jaa,gard mouswar dan to pos,keep the handkerchief in your pocket
mouswaar naya aur saaf ba,mouswar la nouvo ek prop,the kerchief is new and clean
robe,rob,dress frock
rob sundar lal rang ke ba,rob la enn zoli kouler rouz,the dress is of a beautiful red colour
rob almari mein latakawal ba,rob in apandan dan armwar,the dress is hanging in the wardrobe
rob bazar se kharid ke le aaili,mon aste rob depi bazar mon amener,i bought the dress from the market
odni,vwal,veil cover
odni sir par rakha jaa,met vwal lor latet,place the veil on the head
odni sundar design ke ba,vwal la ena enn zoli desen,the veil has a beautiful design
aangan,lakour,yard
aangan saaf sutra rakha jaa,gard lakour prop,keep the yard clean
aangan mein bachwa khelat ba,zanfan pe zwe dan lakour,the children are playing in the yard
aangan ke kone mein ped lagal ba,ena pie dan kwen lakour,theres a tree in the corner of the yard
meb,meb,furniture
meb naya ba,meb la nouvo,the furniture is newly made
meb ghar ke sundar banawe la,meb fer lakaz vinn zoli,the furniture makes the house beautiful
meb saaf kar da roj,netway meb toulezour,clean the furniture daily
maa lakujine mein ba,mama dan lakwizinn,mother is in the kitchen
maa lakujine mein ba aur sabzi banawat ba,mama dan lakwizinn ek pe kwiy legim,mother is in the kitchen cooking vegetables
maa lakujine mein ba aur roti sekhat ba,mama dan lakwizinn pe frir dipin,mother is in the kitchen frying bread
maa lakujine mein ba aur chai banawat ba,mama dan lakwizinn ek pe fer dite,mother is in the kitchen making tea
loonda se bartan manja ta,pe lav vessel avek loonda,she is washing the dishes
angiya,blouz,blouse
angiya safed rang ke ba,blouz la kouler blan,the blouse is red in colour
angiya almari mein rakhal ba,blouz in garder dan armwar,the blouse is kept in the wardrobe
angiya maa ke pasand ba,mama kontan blouz la,mother likes the blouse
kambal,molton,blanket
raat mein kambal odh le,kouver avek molton aswar,cover yourself with a blanket at night
kambal phatal ba,molton la fan,i bought a new blanket
kambal patla ba lekin garam ba,molton la fen me li chau,the blanket is thin but warm
kamiz,simiz,shirt
kamiz kala rang ke ba,simiz la kouler noir,the shirt is white in colour
kamiz press kar da,repas simiz la,iron the shirt
kamiz naya set ke saath aail ba,simiz la in vini avek nouvo set,the shirt came with a new set
kurta,kurta,shirt
kurta khadi ke banal ba,kurta la fer avek linz koton,the kurta is made of cotton
kurta shaadi ke lie pehnal jaala,met kurta pou maryaz,wear the kurta for the wedding
kurta almari mein latakawal ba,kurta la pannan dan armwar,the kurta is hanging in the wardrobe
gadda,kousen,cushion
gadda sofa par rakhal ba,kousen in garde lor sofa,the cushion is placed on the sofa
gadda naram aur aaramdayak ba,kousen la mou ek konfortab,the cushion is soft and comfortable
choli,blouz,choli bodice
choli sari ke saath pehnal ja la,met blouz avek sari,the choli is worn with a saree
choli sundar design ke ba,blouz la ena enn zoli desen,the choli has a nice design
choli tailor se silawale ba,blouz finn koud par koudriye,the choli was stitched at the tailors
mayo,mayo,underwear
mayo sukhaye ke lie bahar taang da,apandan mayo deor pou li sek,hang the underwear outside to dry
mayo cotton ke banal ba,mayo fer avek koton,the underwear is made of cotton
mayo almari mein rakhal ba,mayo in garde dan armwar,the underwear is kept in the wardrobe
jurao,soset,socks
moza,soset,socks
soseet,soset,socks
soset paair mein pehnal ja la,met soset lor lipie,wear socks on your feet
soset sukhaye ke lie bahar rakha jaa,met soset deor pou sek,put the socks outside to dry
soset kala rang ke ba,soset la kouler nwar,the socks are black in colour
kanth band,kravatt,tie
cravatte,kravatt,tie
cravatte school ke uniform mein lagela,kravatt met dan iniform lekol,the tie is part of the school uniform
cravatte thik se baandh da,atas to kravatt byen,tie your tie properly
cravatte office ke lie pehna jaa,met kravatt pou al travay,the tie is worn for the office
jutta,soulie,shoe
jutta pair mein pehna jaa,met soulie lor to lipie,wear shoes on your feet
jutta saaf kar da roj,netway soulie toulezour,clean your shoes daily
jutta naya kharid ke le aaili,mon aste enn nouvo soulie mon amene,i bought a new pair of shoes
tope,sapo,hat
tope sir par rakha jaa,met sapo lor latet,put the hat on your head
tope dhoop se bachawat ba,sapo protez kont soley,the hat protects from sunlight
tope sundar lagat ba,sapo la paret zoli,the hat looks nice
topi,kasket,cap
topi bachwa ke sir par ba,kasket lor latet zanfan,the cap is on the childs head
topi hawa mein udd gal,kasket finn envole avek divan,the cap flew away in the wind
topi lal rang ke ba,kasket kouler rouz,the cap is red in colour
towaliya,serviet,towel
serviette,serviet,towel
towaliya se muh ponch da,siye to figir avek serviet,wipe your face with the towel
serviette saaf sutra rakha jaa,gard sevyet prop,keep the towel clean
serviette sukhaye ke lie bahar taang da,pand serviet deor pou li sek,hang the towel outside to dry
dastane,legan,gloves
legan,legan,gloves
dastane haath mein pehna jaa,met legan lor lamin,wear gloves on your hands
legan thanda mausam mein pehnal ja la,meti legan dan letan fre,gloves are worn in cold weather
legan naya aur fit ba,legan la nouvo ek bien adapte,the gloves are new and fit well
dhoti,dhoti,dhoti
dhoti puraani parampara ke poshak ba,dhoti enn abiman ancien lepok,the dhoti is a traditional garment
dhoti safed rang ke ba,dhoti kouler blan,the dhoti is white in colour
dhoti sabha mein pehnal ja la,dhoti met dan fet ek seremoni,the dhoti is worn in gatherings and ceremonies
lahenga,long zup,long skirt
lahenga bahut sundar silai ke ba,long zup in koud bien zoli,the skirt is beautifully stitched
lahenga shaadi mein pehnal ja la,long zup met dan maryaz,the skirt is worn during weddings
lahenga ke kinara par decoration lagal ba,long zup so bord ena dekorasion,the edge of the skirt has embroidery
sari,sari,saree
maa sari pehenle ba,mama in met enn sari,mother is wearing a saree
sari sundar design ke ba,sari la ena enn zoli desen,the saree has a beautiful design
sari almari mein fold kar ke rakha,pliye sari la ek gard dan armwar,the saree is folded and kept in the wardrobe
rumal,mouchoir,handkerchief
rumal se pasina ponch da,sui to transpirasion avek mouchoir,wipe your sweat with the handkerchief
rumal jeb mein rakha,gard mouchoir dan pos,keep the handkerchief in your pocket
vardi,iniform,uniform
vardi school mein pehnal ja la,iniform met dan lekol,the uniform is worn at school
vardi saaf sutra rakha jaa,gard iniform prop,keep the uniform clean
naya vardi press kar da,repas nouvo iniform la,iron the new uniform
shaal,foulard,shawl
dushala,foulard,shawl
shaal kandha par odh le,met foulard lor to zepol,drape the shawl over your shoulders
dushala sukhaye ke lie bahar taang da,apandan foulard deor pou sek,hang the shawl outside to dry
shaal sard mausam mein pehnal ja la,foulard met letan fre,the shawl is worn during cold weather
salwaar,pantalon,trousers
salwaar kurta ke saath pehnal ja la,pantalon met avek kurta,the trousers are worn with a kurta
salwaar comfortable ba,pantalon la konfortab,the trousers are comfortable
salwaar naya set mein ba,pantalon la dan nouvo set,the trousers are part of a new set
lungi,longi,wraparound
lungi aadmi pehn le ba,zom in met longi,the man is wearing a lungi
lungi cotton ke banal ba,longi in fer avek koton,the lungi is made of cotton
lungi ghar mein pehnal ja la,longi met dan lakaz,the lungi is worn at home
taga,difil,thread
taga sui mein daal da,met difil dan zegui,insert the thread in the needle
taga kapra siye ke lie hola,difil servi pou koud linz,the thread is used for stitching clothes
taga lal rang ke ba,diil kouler rouz,the thread is red in colour
pehle ke laika bina joota ke lekol jaat rahlan sa,ansyin zanfan ti al lekol san soulie,in the old days children used to go to school barefoot
hamar chappal toot gal ab kaisse sadi mein jaib,mo savat in kase kouma mo pou al dan maryaz,my slippers are broken i cannot go to the wedding
garib aurat ke looga nai ba,pov madam pena linz,the poor woman has no clothes
hamar sari phaat gal,mo sari fin desire,my sari is torn
boolooj ke choli bhi bolal jaala,blouz apel ausi choli,blouses bodice are also known as choli
tor robe khub joli ba,to rob bien zoli,your dress gown is beautiful
mauritius mein aaj kaal ke marad log dhoti nai pehne lan sa,dan moris zordi zour zomme pa met dhoti,in todays mauritius men no longer wear dhotis
odhni,vwal,veil used with long skirt
zipon,zipon,undergarment worn under sari
zipon sari ke niche pehnal jaala,zipon met anba sari,the undergarment is worn under the sari
zipon cotton ke banal ba,zipon fer avek koton,the undergarment is made of cotton
zipon saaf sutra rakha jaa,gard zipon prop,keep the undergarment clean
dhoti,dhoti,loin cloth
langoti,dhoti,loin cloth
langoti purana zamana ke poshak ba,dhoti enn linz lepok longtemp,the loin cloth is a traditional old garment
langoti hawa daar aur aaramdayak ba,dhotila fre ek konfortab,the loin cloth is airy and comfortable
mouchoir,mouswar,headdress worn by immigrants
pagri sir par bandhi jaat ba,pagri met lor latet,the headdress is tied around the head
pagri laal rang ke ba,pagri ena kouler rouz,the headdress is red in colour
pagri izzat aur parampara ke nishani ba,mouswar la enn sinboul respe ek tradision,the headdress is a symbol of respect and tradition
champal,savat,slippers
champal darwaja ke paas rakhal ba,in gard savat pres ar laport,the slippers are near the door
champal paair mein pehna jaa,met savat lor lipie,wear the slippers on your feet
champal purana ba par abhi chalela,savat la vie me ankor bon,the slippers are old but still usable
oonghthi,bag,ring
oonghthi ungli mein chamak rahel ba,bag pe briye lor ledwa,the ring is shining on the finger
oonghthi sona ke banal ba,bag la fer avek lor,the ring is made of gold
oonghthi shaadi ke uphaar mein milal ba,bag la finn gagne kouma kado maryaz,the ring was received as a wedding gift
eireen,zanon,earring
karan phool,zanon,earring
kanphool,zanon,earring
jhumka,zanon,earring
eireen kaan mein chhota aur sundar ba,zanon tipti ek zoli,the earring is small and beautiful
karan phool roshan mein chamakela,zanon briye kan ena limier,the earrings sparkle in the light
jhumka badiya design ke ba,zanon ena enn zoli model,the earring has a nice design
haar,lasenn,necklace
haar gale mein pehnal jaala,lasenn met otour lagoz,the necklace is worn around the neck
haar maa ke pasand ba,mama kontan lasenn la,mother likes the necklace
kangan,brasle,bracelet bangle
batana,brasle,bracelet bangle
chuddi,brasle,bracelet bangle
kadda,brasle,bracelet bangle
kangan haath mein khanak rahel ba,brasle la pe fer enn son lor lamin,the bracelet is making a sound on the wrist
kadda lohe ke banal ba,brasle la fer avek metal,the bangle is made of iron
paayal,payal,anklet
paayal pair mein baje la,payal son lor lipie,the anklet is tinkling on the foot
paayal chandi ke banal ba,payal in fer avek larzan,the anklet is made of silver
phuli,phuli,nose ring
phuli naak mein chamak rahel ba,phuli pe briye dan nene,the nose ring is shining on the nose
phuli chhoti aur patli ba,phuli la tipti ek fen,the nose ring is small and thin
tikka,tika,dot or ceremonial mark on forehead
bindi,tika,dot or ceremonial mark on forehead
tilak,tika,dot or ceremonial mark on forehead
tikuli,tika,dot or ceremonial mark on forehead
bindi laal rang ke ba,tika la kouler rouz,the forehead dot is red in colour
tikka maang ke bich lagawal jaala,tika met au milie latet,the dot is placed at the center of the forehead
tilak puja ke samay lagawal jaala,tika met letan lapriyer,the ceremonial mark is applied during prayer
mala,lasenn,garland necklace
motimala,lasenn,garland necklace
mohar mala,lasenn,garland necklace
mala phool ke banal ba,lasenn fer avek fler,the garland is made of flowers
motimala safed moti ke ba,lasenn la fer avek perle blan,the pearl necklace is made of white pearls
sindur,sindur,vermilion powder sign of a wedded woman
sindur maang mein lagawal jaat ba,sindur met au milie latet,the vermilion is applied along the parting of the hair
sindur suhagan ke nishani ba,sindur enn sinbol madam marye,the vermilion is a symbol of a married woman
sindur laal rang ke ba aur har subah lagawal jaala,sindur kouler rouz ek mete sak gramatin,the vermilion is red and applied every morning
khayi ke chiz,manze,eatables
bahut tarah ke khayi ke chiz bazar mein mil jaala,gagn buku kalite manze dan bazar,many types of food items are found in the market
ham roj naya khayi ke chiz try karila,mo esey nouvo kalite manze toulezour,i try new kinds of food every day
maa ghar par swadisht khay ke chiz banawela,mama kwiy bon manze lakaz,mother cooks delicious dishes at home
maa roti belat ba rasoi mein,mama pe prepar roti dan lakwizinn,mother is rolling bread in the kitchen
roti garam garam servi kar da,servi roti la so so,serve the bread hot
ham roti aur sabzi khaini,mon manz roti ek legim,i eat bread and vegetables in my meal
paratha,farata,flatbread larger than roti
paratha subah ke nashta mein banat ba,farata pe kwiy pou dejeuner,the paratha is being made for breakfast
paratha mein thoda ghi lagawa,met enn tigit ghi lor farata,spread a little ghee on the paratha
paratha bahut soft aur tasty ba,farata la mou ek bon gou,the paratha is soft and tasty
pudi,puri,small flatbread fried in ghee
pudi tel mein talat ba,puri pe frir dan delwil,the puris are frying in ghee
garam garam pudi sabji ke saath khawala,puri so manz avek legim,eat the puris hot with vegetables
pudi bacha log ke bahut pasand ba,zanfan bien kontan puri,children love puris very much
kachowri,puri,bread not common in mauritius
dalpitha,dalpitha,dough pieces cooked in dal
dalpitha ek parampara wala khana ba,dalpitha enn manze tradisionel,dalpitha is a traditional dish
dalpitha dal mein bane ba,dalpitha kwiy dan lentiy,the dalpitha is boiled in lentils
dalpitha garam garam khawala,manz dalpitha so so,the dalpitha is eaten hot
dudh pithi,dood pithi,dough pieces cooked in milk and sugar
dudh pithi meetha khana ba,dood pithi enn manze dou,dudh pithi is a sweet dish
dudh pithi raat ke dessert mein servi hola,servi dood pithi kouma deser aswar,dudh pithi is served as dessert at night
dudh pithi dood aur chinni se banela,dood pithi fer avek dile ek disik,dudh pithi is made with milk and sugar
gehu,dible,wheat
gehu ke daam bazar mein badh gal ba,pri dible finn ogmante dan bazar,the price of wheat has increased in the market
channa,pois,gram
channa se chole banela,pois servi pou prepar chole,chickpeas are used to make chole
